scenario_id,model_a_id,model_b_id,variable,value_a,value_b,tolerance_pct,deviation_pct,message
swift_contained,nrel,lngst,natural_gas_price_change_pct,0.0,50.92727272727273,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on nrel input natural_gas_price_change_pct: LLM=0.0, lngst=50.92727272727273 (deviation: 200.0%, threshold: 50.0%)"
swift_contained,mpsge_jl,poles_jrc,oil_price_shock_pct,0.0,54.79,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on mpsge_jl input oil_price_shock_pct: LLM=0.0, poles_jrc=54.79 (deviation: 200.0%, threshold: 50.0%)"
swift_contained,mpsge_jl,lngst,commodity_price_shocks[lng],25,50.92727272727273,50.0,68.3,"LLM-extracted vs upstream-computed disagreement on mpsge_jl input commodity_price_shocks[lng]: LLM=25, lngst=50.92727272727273 (deviation: 68.3%, threshold: 50.0%)"
swift_contained,mpsge_jl,world_helium_model,commodity_price_shocks[helium],30,0.0,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on mpsge_jl input commodity_price_shocks[helium]: LLM=30, world_helium_model=0.0 (deviation: 200.0%, threshold: 50.0%)"
swift_contained,pycge,poles_jrc,oil_price_shock_pct,0.0,54.79,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on pycge input oil_price_shock_pct: LLM=0.0, poles_jrc=54.79 (deviation: 200.0%, threshold: 50.0%)"
swift_contained,pycge,world_helium_model,commodity_price_shocks[helium],30.0,0.0,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on pycge input commodity_price_shocks[helium]: LLM=30.0, world_helium_model=0.0 (deviation: 200.0%, threshold: 50.0%)"
swift_contained,fed_oil,poles_jrc,oil_price_change_pct,0.0,54.79,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on fed_oil input oil_price_change_pct: LLM=0.0, poles_jrc=54.79 (deviation: 200.0%, threshold: 50.0%)"
prolonged_contained,fed_oil,poles_jrc,oil_price_change_pct,25.0,60.5,50.0,83.04,"LLM-extracted vs upstream-computed disagreement on fed_oil input oil_price_change_pct: LLM=25.0, poles_jrc=60.5 (deviation: 83.0%, threshold: 50.0%)"
prolonged_contained,nrel,lngst,natural_gas_price_change_pct,0.0,126.39090909090909,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on nrel input natural_gas_price_change_pct: LLM=0.0, lngst=126.39090909090909 (deviation: 200.0%, threshold: 50.0%)"
prolonged_contained,mpsge_jl,poles_jrc,oil_price_shock_pct,0.0,60.5,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on mpsge_jl input oil_price_shock_pct: LLM=0.0, poles_jrc=60.5 (deviation: 200.0%, threshold: 50.0%)"
