scenario_id,model_a_id,model_b_id,variable,value_a,value_b,tolerance_pct,deviation_pct,message
swift_contained,pycge,poles_jrc,oil_price_shock_pct,0.0,54.79,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on pycge input oil_price_shock_pct: LLM=0.0, poles_jrc=54.79 (deviation: 200.0%, threshold: 50.0%)"
swift_contained,pycge,world_helium_model,commodity_price_shocks[helium],30.0,0.0,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on pycge input commodity_price_shocks[helium]: LLM=30.0, world_helium_model=0.0 (deviation: 200.0%, threshold: 50.0%)"
prolonged_contained,pycge,poles_jrc,oil_price_shock_pct,0.0,60.5,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on pycge input oil_price_shock_pct: LLM=0.0, poles_jrc=60.5 (deviation: 200.0%, threshold: 50.0%)"
prolonged_contained,pycge,world_helium_model,commodity_price_shocks[helium],30,0.0,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on pycge input commodity_price_shocks[helium]: LLM=30, world_helium_model=0.0 (deviation: 200.0%, threshold: 50.0%)"
swift_escalated,pycge,poles_jrc,oil_price_shock_pct,0.0,58.25,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on pycge input oil_price_shock_pct: LLM=0.0, poles_jrc=58.25 (deviation: 200.0%, threshold: 50.0%)"
swift_escalated,pycge,world_helium_model,commodity_price_shocks[helium],30.0,0.0,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on pycge input commodity_price_shocks[helium]: LLM=30.0, world_helium_model=0.0 (deviation: 200.0%, threshold: 50.0%)"
prolonged_escalated,pycge,poles_jrc,oil_price_shock_pct,0.0,51.82,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on pycge input oil_price_shock_pct: LLM=0.0, poles_jrc=51.82 (deviation: 200.0%, threshold: 50.0%)"
infrastructure_collapse,pycge,poles_jrc,oil_price_shock_pct,500.0,48.36,50.0,164.72,"LLM-extracted vs upstream-computed disagreement on pycge input oil_price_shock_pct: LLM=500.0, poles_jrc=48.36 (deviation: 164.7%, threshold: 50.0%)"
infrastructure_collapse,pycge,world_helium_model,commodity_price_shocks[helium],30.0,0.3,50.0,196.04,"LLM-extracted vs upstream-computed disagreement on pycge input commodity_price_shocks[helium]: LLM=30.0, world_helium_model=0.3 (deviation: 196.0%, threshold: 50.0%)"
infrastructure_collapse,pycge,cwatm,commodity_price_shocks[water],0.0,9.091,50.0,200.0,"LLM-extracted vs upstream-computed disagreement on pycge input commodity_price_shocks[water]: LLM=0.0, cwatm=9.091 (deviation: 200.0%, threshold: 50.0%)"
